stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,10001,Stop 92 Alawoona Rd - North West side,,-34.66091, 138.70355,,http://www.adelaidemetro.com.au/stops/view/10001,,,,
2,10002,Stop 92 Alawoona Rd - South East side,,-34.66114, 138.70346,,http://www.adelaidemetro.com.au/stops/view/10002,,,,
3,10003,Stop 93 Alawoona Rd - North West side,,-34.66324, 138.70171,,http://www.adelaidemetro.com.au/stops/view/10003,,,,
4,10004,Stop 93 Alawoona Rd - South East side,,-34.66366, 138.70166,,http://www.adelaidemetro.com.au/stops/view/10004,,,,
5,10005,Stop 91 Carcoola Rd - North West side,,-34.6614370056008, 138.705493365841,,http://www.adelaidemetro.com.au/stops/view/10005,,,,
6,10006,Stop 91 Carcoola Rd - South East side,,-34.66151, 138.70559,,http://www.adelaidemetro.com.au/stops/view/10006,,,,
7,10007,Stop 90 Carcoola Rd - South East side,,-34.6641360554388, 138.704101967217,,http://www.adelaidemetro.com.au/stops/view/10007,,,,
8,10008,Stop 90 Carcoola Rd - North West side,,-34.6642793681353, 138.703834169303,,http://www.adelaidemetro.com.au/stops/view/10008,,,,
9,10009,Stop 94 Alawoona Rd - North West side,,-34.66635, 138.69789,,http://www.adelaidemetro.com.au/stops/view/10009,,,,
10,10010,Stop 89 Carcoola Rd - North West side,,-34.6663451456967, 138.70281418814,,http://www.adelaidemetro.com.au/stops/view/10010,,,,
11,10011,Stop 89 Carcoola Rd - South East side,,-34.6663, 138.70307,,http://www.adelaidemetro.com.au/stops/view/10011,,,,
12,10012,Stop 88 Noora Cr - South East side,,-34.66734, 138.70077,,http://www.adelaidemetro.com.au/stops/view/10012,,,,
13,10013,Stop 88 Noora Cr - North West side,,-34.6669868347755, 138.700790419366,,http://www.adelaidemetro.com.au/stops/view/10013,,,,
14,10014,Stop 76 President Av - West side,,-34.6676153584776, 138.667939203326,,http://www.adelaidemetro.com.au/stops/view/10014,,,,
15,10015,Stop 73 Old Port Wakefield Rd - East side,,-34.66772, 138.56094,,http://www.adelaidemetro.com.au/stops/view/10015,,,,
16,10016,Stop 76 President Av - East side,,-34.66773, 138.668,,http://www.adelaidemetro.com.au/stops/view/10016,,,,
17,10017,Stop 75 President Av - East side,,-34.669431590146, 138.666946476489,,http://www.adelaidemetro.com.au/stops/view/10017,,,,
19,10019,Stop 87 Maltarra Rd - South East side,,-34.6684659296038, 138.701314331209,,http://www.adelaidemetro.com.au/stops/view/10019,,,,
20,10020,Stop 75 President Av - West side,,-34.6701350810759, 138.666368794238,,http://www.adelaidemetro.com.au/stops/view/10020,,,,
